code,system
6307001,gprdproduct
4494009,gprdproduct
2409002,gprdproduct
11637001,gprdproduct
2213011,gprdproduct
2899002,gprdproduct
7073001,gprdproduct
932001,gprdproduct
1344010,gprdproduct
2213009,gprdproduct
2863010,gprdproduct
5071009,gprdproduct
5366002,gprdproduct
1702003,gprdproduct
2862011,gprdproduct
5023009,gprdproduct
3723010,gprdproduct
5070009,gprdproduct
2412001,gprdproduct
2901001,gprdproduct
910010,gprdproduct
5697009,gprdproduct
830011,gprdproduct
4233001,gprdproduct
582010,gprdproduct
5032009,gprdproduct
3995009,gprdproduct
6114009,gprdproduct
4978002,gprdproduct
3075009,gprdproduct
3135010,gprdproduct
289010,gprdproduct
4840001,gprdproduct
291011,gprdproduct
1820009,gprdproduct
4735001,gprdproduct
10340001,gprdproduct
2411003,gprdproduct
1200010,gprdproduct
10603001,gprdproduct
3653010,gprdproduct
499010,gprdproduct
1700001,gprdproduct
289009,gprdproduct
4988001,gprdproduct
5693009,gprdproduct
4174001,gprdproduct
6307002,gprdproduct
910011,gprdproduct
721011,gprdproduct
2411001,gprdproduct
6164001,gprdproduct
5033009,gprdproduct
4004002,gprdproduct
5818009,gprdproduct
2143010,gprdproduct
1882009,gprdproduct
5026009,gprdproduct
5069009,gprdproduct
5014009,gprdproduct
3761009,gprdproduct
881001,gprdproduct
1408011,gprdproduct
848001,gprdproduct
6064001,gprdproduct
3794009,gprdproduct
3009001,gprdproduct
4807009,gprdproduct
5038009,gprdproduct
3974001,gprdproduct
1702001,gprdproduct
6850009,gprdproduct
2863011,gprdproduct
581010,gprdproduct
3680010,gprdproduct
6064003,gprdproduct
4729001,gprdproduct
10341002,gprdproduct
909011,gprdproduct
289011,gprdproduct
1323010,gprdproduct
2897003,gprdproduct
6149009,gprdproduct
880001,gprdproduct
292010,gprdproduct
581009,gprdproduct
1714001,gprdproduct
5046009,gprdproduct
721010,gprdproduct
5817009,gprdproduct
5075009,gprdproduct
1549009,gprdproduct
582009,gprdproduct
3898009,gprdproduct
3996009,gprdproduct
5008009,gprdproduct
5365002,gprdproduct
867001,gprdproduct
5009009,gprdproduct
6064002,gprdproduct
2409003,gprdproduct
1715001,gprdproduct
5695009,gprdproduct
2409001,gprdproduct
4729003,gprdproduct
5040009,gprdproduct
1595001,gprdproduct
580009,gprdproduct
1349010,gprdproduct
4484002,gprdproduct
4004003,gprdproduct
8112001,gprdproduct
5819009,gprdproduct
1856010,gprdproduct
1363010,gprdproduct
910009,gprdproduct
7109001,gprdproduct
2897001,gprdproduct
6113009,gprdproduct
8779001,gprdproduct
288009,gprdproduct
5070002,gprdproduct
2898001,gprdproduct
2899001,gprdproduct
5578009,gprdproduct
1618001,gprdproduct
291009,gprdproduct
5044009,gprdproduct
5532009,gprdproduct
1601001,gprdproduct
5450001,gprdproduct
3028009,gprdproduct
287009,gprdproduct
5077009,gprdproduct
968001,gprdproduct
4348009,gprdproduct
1344009,gprdproduct
2202009,gprdproduct
2842010,gprdproduct
1818009,gprdproduct
5024009,gprdproduct
5216002,gprdproduct
6780002,gprdproduct
1714003,gprdproduct
3150010,gprdproduct
3156010,gprdproduct
3762009,gprdproduct
1201011,gprdproduct
1618003,gprdproduct
2874001,gprdproduct
4496009,gprdproduct
5577009,gprdproduct
4730001,gprdproduct
1714002,gprdproduct
909010,gprdproduct
880002,gprdproduct
6177009,gprdproduct
5721009,gprdproduct
6307003,gprdproduct
14038001,gprdproduct
1618002,gprdproduct
290009,gprdproduct
5045009,gprdproduct
2031011,gprdproduct
2874002,gprdproduct
5035009,gprdproduct
3707010,gprdproduct
2895002,gprdproduct
5364001,gprdproduct
1408009,gprdproduct
12711001,gprdproduct
5449001,gprdproduct
3651010,gprdproduct
3705010,gprdproduct
1201010,gprdproduct
3710010,gprdproduct
1700002,gprdproduct
4729002,gprdproduct
3761011,gprdproduct
540001,gprdproduct
2017009,gprdproduct
6694009,gprdproduct
5820009,gprdproduct
4004001,gprdproduct
2876003,gprdproduct
5317007,gprdproduct
5696009,gprdproduct
2877001,gprdproduct
3075011,gprdproduct
3285010,gprdproduct
4233002,gprdproduct
4732001,gprdproduct
2896001,gprdproduct
5068009,gprdproduct
293010,gprdproduct
3285009,gprdproduct
1700003,gprdproduct
539002,gprdproduct
2842009,gprdproduct
677009,gprdproduct
6790001,gprdproduct
1038002,gprdproduct
5013009,gprdproduct
5575009,gprdproduct
3662010,gprdproduct
2410001,gprdproduct
6308003,gprdproduct
5448001,gprdproduct
2777010,gprdproduct
2876001,gprdproduct
6032009,gprdproduct
5727009,gprdproduct
2875001,gprdproduct
2895003,gprdproduct
1619001,gprdproduct
14040001,gprdproduct
2863009,gprdproduct
4173002,gprdproduct
4337001,gprdproduct
2899003,gprdproduct
2876002,gprdproduct
5366001,gprdproduct
581011,gprdproduct
909009,gprdproduct
722010,gprdproduct
11922001,gprdproduct
2862009,gprdproduct
5037009,gprdproduct
6391001,gprdproduct
498010,gprdproduct
1702002,gprdproduct
5719009,gprdproduct
5036009,gprdproduct
293011,gprdproduct
5042009,gprdproduct
2874003,gprdproduct
2900001,gprdproduct
287010,gprdproduct
2031009,gprdproduct
2897002,gprdproduct
6175009,gprdproduct
1323009,gprdproduct
2895001,gprdproduct
10343003,gprdproduct
5426001,gprdproduct
292009,gprdproduct
1516010,gprdproduct
5034009,gprdproduct
3028011,gprdproduct
4383009,gprdproduct
2777009,gprdproduct
1323011,gprdproduct
2441009,gprdproduct
1517010,gprdproduct
1701001,gprdproduct
291010,gprdproduct
5216003,gprdproduct
2230010,gprdproduct
293009,gprdproduct
5011009,gprdproduct
5039009,gprdproduct
931001,gprdproduct
4732002,gprdproduct
5025009,gprdproduct
4838001,gprdproduct
294009,gprdproduct
5015009,gprdproduct
3059001,gprdproduct
3104010,gprdproduct
1655010,gprdproduct
11637003,gprdproduct
3761010,gprdproduct
6174009,gprdproduct
5694009,gprdproduct
2831010,gprdproduct
2411002,gprdproduct
676009,gprdproduct
2198010,gprdproduct
3650010,gprdproduct
2143009,gprdproduct
580011,gprdproduct
5010009,gprdproduct
580010,gprdproduct
5576009,gprdproduct
10341001,gprdproduct
6308001,gprdproduct
11922003,gprdproduct
4495009,gprdproduct
287011,gprdproduct
1344011,gprdproduct
3675010,gprdproduct
3982009,gprdproduct
10602001,gprdproduct
1698001,gprdproduct
5016009,gprdproduct
6657009,gprdproduct
1183001,gprdproduct
830010,gprdproduct
3317001,gprdproduct
4532009,gprdproduct
6077009,gprdproduct
3316002,gprdproduct
582011,gprdproduct
2259010,gprdproduct
911009,gprdproduct
6693009,gprdproduct
7110001,gprdproduct
6308002,gprdproduct
3007003,gprdproduct
14039001,gprdproduct
1548009,gprdproduct
538001,gprdproduct
6065001,gprdproduct
5076009,gprdproduct
5365001,gprdproduct
2786001,gprdproduct
9141001,gprdproduct
237001,gprdproduct
12595001,gprdproduct
65002,gprdproduct
5262009,gprdproduct
1070009,gprdproduct
2116007,gprdproduct
2919002,gprdproduct
2467001,gprdproduct
6151009,gprdproduct
13650001,gprdproduct
1915009,gprdproduct
2966001,gprdproduct
1661011,gprdproduct
4810009,gprdproduct
1887009,gprdproduct
5913009,gprdproduct
8534001,gprdproduct
11782002,gprdproduct
7290001,gprdproduct
7082002,gprdproduct
7162003,gprdproduct
3365001,gprdproduct
6704009,gprdproduct
2371002,gprdproduct
8955003,gprdproduct
1909001,gprdproduct
2783003,gprdproduct
11577001,gprdproduct
616002,gprdproduct
889009,gprdproduct
5936009,gprdproduct
10008001,gprdproduct
6488009,gprdproduct
11782001,gprdproduct
4813009,gprdproduct
2708007,gprdproduct
2850009,gprdproduct
6065009,gprdproduct
1341001,gprdproduct
14840001,gprdproduct
5931001,gprdproduct
6940003,gprdproduct
6406009,gprdproduct
4003009,gprdproduct
5591003,gprdproduct
5907009,gprdproduct
6940002,gprdproduct
764009,gprdproduct
6229002,gprdproduct
2485002,gprdproduct
4843009,gprdproduct
616001,gprdproduct
14575001,gprdproduct
4479009,gprdproduct
540010,gprdproduct
3013009,gprdproduct
11576003,gprdproduct
2786002,gprdproduct
7299003,gprdproduct
7265001,gprdproduct
3715009,gprdproduct
2804003,gprdproduct
2783002,gprdproduct
2796001,gprdproduct
3396009,gprdproduct
3591001,gprdproduct
5085007,gprdproduct
4595003,gprdproduct
5906009,gprdproduct
1000001,gprdproduct
6028009,gprdproduct
1661009,gprdproduct
6118009,gprdproduct
4192009,gprdproduct
3839007,gprdproduct
6122009,gprdproduct
294002,gprdproduct
377001,gprdproduct
247011,gprdproduct
6256009,gprdproduct
8374003,gprdproduct
7082001,gprdproduct
10615002,gprdproduct
6066009,gprdproduct
3592002,gprdproduct
10590001,gprdproduct
5988009,gprdproduct
5903009,gprdproduct
6086009,gprdproduct
1070010,gprdproduct
5832009,gprdproduct
3114001,gprdproduct
14045001,gprdproduct
354009,gprdproduct
5956009,gprdproduct
5263009,gprdproduct
1070011,gprdproduct
2804001,gprdproduct
3013011,gprdproduct
13838001,gprdproduct
1950011,gprdproduct
7290002,gprdproduct
3133009,gprdproduct
1638002,gprdproduct
9219003,gprdproduct
13569001,gprdproduct
875011,gprdproduct
10615001,gprdproduct
1498010,gprdproduct
3731010,gprdproduct
4466002,gprdproduct
248010,gprdproduct
2709007,gprdproduct
2197010,gprdproduct
9573001,gprdproduct
8955001,gprdproduct
14442001,gprdproduct
7187001,gprdproduct
5990009,gprdproduct
7935001,gprdproduct
7185002,gprdproduct
5840009,gprdproduct
540009,gprdproduct
9219001,gprdproduct
6468002,gprdproduct
8403002,gprdproduct
5590003,gprdproduct
4006001,gprdproduct
4197001,gprdproduct
877009,gprdproduct
7265002,gprdproduct
4446001,gprdproduct
8717001,gprdproduct
2840007,gprdproduct
14819001,gprdproduct
2784001,gprdproduct
1311009,gprdproduct
6229009,gprdproduct
2806001,gprdproduct
1004002,gprdproduct
11131003,gprdproduct
14283001,gprdproduct
6508009,gprdproduct
4555001,gprdproduct
10789003,gprdproduct
14831001,gprdproduct
1001002,gprdproduct
12602001,gprdproduct
3660009,gprdproduct
6230009,gprdproduct
14030001,gprdproduct
3688010,gprdproduct
12598001,gprdproduct
3463009,gprdproduct
4812009,gprdproduct
6706009,gprdproduct
5899009,gprdproduct
3613007,gprdproduct
4806009,gprdproduct
1269001,gprdproduct
1909002,gprdproduct
5933009,gprdproduct
4002009,gprdproduct
6193009,gprdproduct
5876009,gprdproduct
6545003,gprdproduct
467010,gprdproduct
1912002,gprdproduct
1638001,gprdproduct
3874009,gprdproduct
8403001,gprdproduct
7264002,gprdproduct
